"filename", "language", "YAML", "Dart", "comment", "blank", "total"
"c:\Users\oguzk\Documents\GitHub\biren\lib\main.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\base\model\base_view_model.dart", "Dart", 0, -6, 0, -3, -9
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\base\view\base_view.dart", "Dart", 0, -35, -1, -8, -44
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\enum\admin_feature_types.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\enum\firebase_collection_enum.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\gen\assets.gen.dart", "Dart", 0, 1, 1, 1, 3
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\init\theme\theme.dart", "Dart", 0, 29, -2, 5, 32
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\init\theme\typography.dart", "Dart", 0, 59, 0, 3, 62
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\admin\admin_select_feature.dart", "Dart", 0, 6, 0, 0, 6
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\button\main_button.dart", "Dart", 0, 11, 0, 0, 11
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\card\admin_features_select_widget.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\card\all_homework_card_large.dart", "Dart", 0, -151, 0, -13, -164
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\card\homework_card_large.dart", "Dart", 0, -15, 0, 0, -15
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\card\pushed_homework_card_large.dart", "Dart", 0, 42, 0, 3, 45
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\drawer\homework_drawer.dart", "Dart", 0, 10, 0, 0, 10
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\text_field\auth_text_field.dart", "Dart", 0, 3, 0, 0, 3
"c:\Users\oguzk\Documents\GitHub\biren\pubspec.yaml", "YAML", 6, 0, -11, -1, -6
"Total", "-", 6, 473, -51, -13, 415
