"filename", "language", "YAML", "JSON", "Markdown", "Dart", "Groovy", "Properties", "HTML", "XML", "Swift", "C++", "comment", "blank", "total"
"/Users/hazret/Documents/GitHub/biren/lib/features/admin/view/attendance/attendance_view.dart", "Dart", 0, 0, 0, 196, 0, 0, 0, 0, 0, 0, 0, 18, 214
"/Users/hazret/Documents/GitHub/biren/lib/features/admin/view/attendance/mixin/admin_attendance_operation_mixin.dart", "Dart", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"/Users/hazret/Documents/GitHub/biren/lib/features/admin/view/attendance/provider/attendance_provider.dart", "Dart", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 5, 44
"/Users/hazret/Documents/GitHub/biren/lib/features/admin/view/class/class_detail_view.dart", "Dart", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 6, 65
"/Users/hazret/Documents/GitHub/biren/lib/features/admin/view/class/classes_view.dart", "Dart", 0, 0, 0, 244, 0, 0, 0, 0, 0, 0, 0, 16, 260
"/Users/hazret/Documents/GitHub/biren/lib/features/admin/view/exams/all_exams_view.dart", "Dart", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 7, 52
"/Users/hazret/Documents/GitHub/biren/lib/features/admin/view/exams/enter_exams_view.dart", "Dart", 0, 0, 0, 300, 0, 0, 0, 0, 0, 0, 1, 25, 326
"/Users/hazret/Documents/GitHub/biren/lib/features/admin/view/exams/exams_view.dart", "Dart", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 6, 59
"/Users/hazret/Documents/GitHub/biren/lib/features/admin/view/exams/mixin/enter_exams_operation_mixin.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/hazret/Documents/GitHub/biren/lib/features/admin/view/homework/admin_all_homework_view.dart", "Dart", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 5, 45
"/Users/hazret/Documents/GitHub/biren/lib/features/admin/view/homework/create_homework_view.dart", "Dart", 0, 0, 0, 325, 0, 0, 0, 0, 0, 0, 1, 19, 345
"/Users/hazret/Documents/GitHub/biren/lib/features/admin/view/homework/homework_view.dart", "Dart", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 6, 66
"/Users/hazret/Documents/GitHub/biren/lib/features/admin/view/homework/incoming_homeworks_view.dart", "Dart", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 7, 58
"/Users/hazret/Documents/GitHub/biren/lib/features/admin/view/homework/mixin/admin_all_homeworks_operation_mixin.dart", "Dart", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/hazret/Documents/GitHub/biren/lib/features/admin/view/homework/mixin/create_homework_operation_mixin.dart", "Dart", 0, 0, 0, 134, 0, 0, 0, 0, 0, 0, 1, 21, 156
"/Users/hazret/Documents/GitHub/biren/lib/features/admin/view/homework/mixin/incoming_homeworks_operation_mixin.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/hazret/Documents/GitHub/biren/lib/features/admin/view/showcase/mixin/create_showcase_operation_mixin.dart", "Dart", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 8, 34
"/Users/hazret/Documents/GitHub/biren/lib/features/admin/view/showcase/showcase_view.dart", "Dart", 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 7, 114
"/Users/hazret/Documents/GitHub/biren/lib/features/admin/view/students/accepted_students_view.dart", "Dart", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 6, 65
"/Users/hazret/Documents/GitHub/biren/lib/features/admin/view/students/login_accept_view.dart", "Dart", 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 9, 155
"/Users/hazret/Documents/GitHub/biren/lib/features/admin/view/students/login_requiest_view.dart", "Dart", 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 6, 126
"/Users/hazret/Documents/GitHub/biren/lib/features/admin/view/students/mixin/accepted_students_operation_mixin.dart", "Dart", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 4, 47
"/Users/hazret/Documents/GitHub/biren/lib/features/admin/view/students/mixin/login_accept_operation_mixin.dart", "Dart", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 5, 42
"/Users/hazret/Documents/GitHub/biren/lib/features/admin/view/students/mixin/login_requiest_operation_mixin.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 4, 33
"/Users/hazret/Documents/GitHub/biren/lib/features/admin/view/students/mixin/student_edit_operation_mixin.dart", "Dart", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 5, 36
"/Users/hazret/Documents/GitHub/biren/lib/features/admin/view/students/student_edit_view.dart", "Dart", 0, 0, 0, 199, 0, 0, 0, 0, 0, 0, 1, 14, 214
"/Users/hazret/Documents/GitHub/biren/lib/features/admin/view/students/students_view.dart", "Dart", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 6, 54
"/Users/hazret/Documents/GitHub/biren/lib/features/auth/login/mixin/login_operation_mixin.dart", "Dart", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 6, 38
"/Users/hazret/Documents/GitHub/biren/lib/features/auth/login/view/login_view.dart", "Dart", 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 10, 121
"/Users/hazret/Documents/GitHub/biren/lib/features/auth/register/mixin/register_operation_mixin.dart", "Dart", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/hazret/Documents/GitHub/biren/lib/features/auth/register/view/register_view.dart", "Dart", 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 11, 138
"/Users/hazret/Documents/GitHub/biren/lib/features/auth/service/auth_service.dart", "Dart", 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 1, 12, 151
"/Users/hazret/Documents/GitHub/biren/lib/features/home/mixin/all_homeworks_operation_mixin.dart", "Dart", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 2, 25
"/Users/hazret/Documents/GitHub/biren/lib/features/home/mixin/didnt_made_homeworks_operation_mixin.dart", "Dart", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 2, 26
"/Users/hazret/Documents/GitHub/biren/lib/features/home/mixin/exams_home_operation_mixin.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/hazret/Documents/GitHub/biren/lib/features/home/mixin/home_operation_mixin.dart", "Dart", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 8, 60
"/Users/hazret/Documents/GitHub/biren/lib/features/home/mixin/missing_homeworks_operation_mixin.dart", "Dart", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 2, 26
"/Users/hazret/Documents/GitHub/biren/lib/features/home/view/announcement/announcements_view.dart", "Dart", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 7, 59
"/Users/hazret/Documents/GitHub/biren/lib/features/home/view/attendance/attendance_view.dart", "Dart", 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 10, 113
"/Users/hazret/Documents/GitHub/biren/lib/features/home/view/attendance/didnt_came_days_view.dart", "Dart", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 6, 64
"/Users/hazret/Documents/GitHub/biren/lib/features/home/view/exams/exam_detail_view.dart", "Dart", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 6, 79
"/Users/hazret/Documents/GitHub/biren/lib/features/home/view/exams/exams_view.dart", "Dart", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 5, 44
"/Users/hazret/Documents/GitHub/biren/lib/features/home/view/exams/widget/exam_widget.dart", "Dart", 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 6, 83
"/Users/hazret/Documents/GitHub/biren/lib/features/home/view/homeview/home_view.dart", "Dart", 0, 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 11, 161
"/Users/hazret/Documents/GitHub/biren/lib/features/home/view/homeview/widgets/home_drawer.dart", "Dart", 0, 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 7, 141
"/Users/hazret/Documents/GitHub/biren/lib/features/home/view/homeview/widgets/home_select_feature_card.dart", "Dart", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 4, 66
"/Users/hazret/Documents/GitHub/biren/lib/features/home/view/homeworks/all_homeworks_view.dart", "Dart", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 5, 50
"/Users/hazret/Documents/GitHub/biren/lib/features/home/view/homeworks/check_homework_view.dart", "Dart", 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 1, 15, 155
"/Users/hazret/Documents/GitHub/biren/lib/features/home/view/homeworks/didnt_made_homeworks_view.dart", "Dart", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 7, 61
