"filename", "language", "Dart", "Swift", "XML", "C++", "Markdown", "JSON", "YAML", "Groovy", "Properties", "HTML", "comment", "blank", "total"
"c:\Users\oguzk\Documents\GitHub\biren\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\oguzk\Documents\GitHub\biren\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 23, 4, 30
"c:\Users\oguzk\Documents\GitHub\biren\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 5, 14, 76
"c:\Users\oguzk\Documents\GitHub\biren\android\app\google-services.json", "JSON", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 39
"c:\Users\oguzk\Documents\GitHub\biren\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 1, 9
"c:\Users\oguzk\Documents\GitHub\biren\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 6, 1, 36
"c:\Users\oguzk\Documents\GitHub\biren\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\oguzk\Documents\GitHub\biren\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\oguzk\Documents\GitHub\biren\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\oguzk\Documents\GitHub\biren\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\oguzk\Documents\GitHub\biren\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 1, 9
"c:\Users\oguzk\Documents\GitHub\biren\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 5, 34
"c:\Users\oguzk\Documents\GitHub\biren\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\oguzk\Documents\GitHub\biren\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
