"filename", "language", "Dart", "HTML", "YAML", "JSON", "Properties", "Groovy", "Markdown", "XML", "C++", "Swift", "comment", "blank", "total"
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\class\classes_view.dart", "Dart", 238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 254
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\exams\enter_exams_view.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\exams\exams_view.dart", "Dart", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 67
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\all_homework_view.dart", "Dart", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 42
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\create_homework_view.dart", "Dart", 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 19, 350
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\homework_search_view.dart", "Dart", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\homework_view.dart", "Dart", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 67
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\incoming_homeworks_view.dart", "Dart", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 55
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\mixin\all_homeworks_operation_mixin.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\mixin\create_homework_operation_mixin.dart", "Dart", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 19, 127
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\mixin\incoming_homeworks_operation_mixin.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\accepted_students_view.dart", "Dart", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 63
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\login_accept_view.dart", "Dart", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 152
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\login_requiest_view.dart", "Dart", 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 125
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\mixin\accepted_students_operation_mixin.dart", "Dart", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\mixin\login_accept_operation_mixin.dart", "Dart", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 39
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\mixin\login_requiest_operation_mixin.dart", "Dart", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
